n;comparisons;time
2;16;2.174e-6
4;192;1.2035e-5
6;720;3.0484e-5
10;3600;0.00010025
15;12600;0.000267756
20;30400;0.000545884
30;104400;0.001504688
50;490000;0.006411636
75;1665000;0.016976362
100;3960000;0.040613325
125;7750000;0.064788398
150;13410000;0.089015859
175;21315000;0.13864411
200;31840000;0.20217355
250;62250000;0.388716616
300;107640000;0.655476545
400;255360000;1.559079155
500;499000000;2.999356136
600;862560000;5.217069077
700;1370040000;8.762775639000001
